DP1;DP2;ECH;PER;NDEP;D2A;D2B;D3;D4;D5A;D5B;D6;D7;D8;D8C;D9;D11;D12;MOD;MODP;MOIP;DOIB;DIST;DISP;DFIN;D11;;
3;1010;0020;01;01;01;;1010;0550;29;;;9750;0930;0220;1;;;42;42;42;206309;309464;21022;0;5;;5
3;1010;0020;01;02;29;;9750;1300;53;;;9750;1305;0005;0;;;01;01;01;290;333;0;0;5;;5
3;1010;0020;01;03;53;;9750;1400;29;;;9750;1405;0005;0;;;01;01;01;290;333;0;0;5;;5
3;1010;0020;01;04;29;;9750;1730;33;;;1010;2115;0225;1;;;42;42;42;206601;309901;20500;0;5;;5
3;1010;0020;01;05;33;;1010;2120;01;;;1010;2125;0005;0;;;01;01;01;290;333;333;0;5;;1
3;1010;0055;01;01;01;;1010;0735;11;;;9620;0840;0065;1;;;21;21;21;43344;53361;15520;0;6;;1
3;1010;0055;01;02;11;;9620;1200;32;;;9620;1205;0005;1;;;21;21;21;955;1719;0;0;5;;2
3;1010;0055;01;03;32;;9620;1215;11;;;9620;1220;0005;1;;;21;21;21;955;1719;0;0;5;;1
3;1010;0055;01;04;11;;9620;1310;13;;;9620;1330;0020;1;;;21;21;21;955;1719;0;0;2;;2
3;1010;0055;01;05;13;;9620;1730;01;;;1010;1845;0075;1;;;21;21;21;43344;54103;15997;0;2;;2
3;1010;0055;01;06;01;;1010;1920;51;;;1410;1940;0020;1;;;21;21;21;7663;10430;10430;0;5;;2
3;1010;0055;01;07;51;;1410;2145;01;;;1010;2205;0020;1;;;21;21;21;7663;9286;9286;0;5;;1
3;1010;0055;02;01;01;;1010;0830;11;;;1120;0900;0030;1;;;33;33;33;3448;5172;5172;0;6;;1
3;1010;0055;02;02;11;;1120;1815;32;;;1010;1845;0030;1;;;33;33;33;3448;5172;5172;0;2;;3
3;1010;0055;02;03;32;;1010;1905;53;;;1020;1915;0010;0;;;01;01;01;580;667;667;0;2;;3
3;1010;0055;02;04;53;;1020;2045;01;;;1010;2100;0015;0;;;01;01;01;870;1000;1000;0;2;;3
3;1010;0068;01;01;01;;1010;1610;11;;;1011;1628;0018;0;;;01;01;01;1043;1200;1200;0;6;;1
3;1010;0068;01;02;11;;1011;2205;53;;;1010;2210;0005;0;;;01;01;01;290;333;333;0;2;;4
3;1010;0068;01;03;53;;1010;2215;33;;;1010;2220;0005;0;;;01;01;01;290;333;333;0;2;;4
3;1010;0068;01;04;33;;1010;2222;53;;;1030;2240;0018;0;;;01;01;01;1043;1200;1200;0;2;;4
3;1010;0068;01;05;53;;1030;2430;01;;;1010;2445;0015;0;;;01;01;01;870;1000;1000;0;2;;4
3;1010;0092;01;01;01;;1010;0730;13;;;1401;0750;0020;1;;;21;21;21;12903;17361;17361;0;5;;2
3;1010;0092;01;02;13;;1401;1800;01;;;1010;1830;0030;1;;;21;21;21;12903;15803;15803;0;5;;1
3;1010;0092;01;03;01;;1010;1845;32;;;1011;1848;0003;0;;;01;01;01;174;200;200;0;5;;2
3;1010;0092;01;04;32;;1011;1900;01;;;1010;1903;0003;0;;;01;01;01;174;200;200;0;5;;1
3;1010;0119;01;01;01;;1010;2000;51;;;1010;2005;0005;0;;;01;01;01;290;333;333;0;5;;2
3;1010;0119;01;02;51;;1010;2200;01;;;1010;2205;0005;0;;;01;01;01;290;333;333;0;5;;1
3;1010;0119;01;03;01;;1010;2300;54;;;1030;2315;0015;1;;;33;33;33;1246;1869;1869;0;5;;2
3;1010;0119;01;04;54;;1030;2600;01;;;1010;2620;0020;0;;;01;01;01;1159;1333;1333;0;5;;1
3;1010;0119;02;01;01;;1010;1300;64;01;;1030;1310;0010;1;;;33;33;33;1246;1869;1869;0;5;;4
3;1010;0119;02;02;62;01;1030;1315;29;;;9621;1340;0025;1;;;22;22;22;31039;42750;24598;0;5;;4
3;1010;0119;02;03;29;;9621;1650;42;;;1130;1720;0030;1;;;22;22;22;30313;41479;24216;0;5;;4
3;1010;0119;02;04;42;;1130;1725;01;;;1010;1805;0040;1;;;33;33;33;3728;5591;5591;0;5;;1
3;1010;0019;01;01;01;;1010;0900;25;;;1500;0945;0045;2;;;33;33;33;8590;12886;12886;0;8;;1
3;1010;0019;01;02;25;;1500;1600;01;;;1010;1645;0045;2;;;33;33;33;8590;12886;12886;0;9;;1
3;1010;0035;01;01;01;;1010;1500;51;;;1010;1510;0010;0;;;01;01;01;580;667;667;0;5;;3
3;1010;0035;01;02;51;;1010;1700;33;;;1010;1710;0010;0;;;01;01;01;580;667;667;0;5;;3
3;1010;0035;01;03;33;;1010;1715;01;;;1010;1720;0005;0;;;01;01;01;290;333;333;0;5;;1
3;1010;0035;02;01;01;;1010;0820;11;;;1010;0830;0010;0;;;01;01;01;580;667;667;0;6;;1
3;1010;0035;02;02;11;;1010;1230;01;;;1010;1240;0010;0;;;01;01;01;580;667;667;0;7;;1
3;1010;0035;02;03;01;;1010;1330;11;;;1010;1340;0010;0;;;01;01;01;580;667;667;0;6;;1
3;1010;0035;02;04;11;;1010;1710;01;;;1010;1720;0010;0;;;01;01;01;580;667;667;0;7;;1
3;1010;0104;01;01;02;;9673;0730;13;;;9673;0745;0015;1;;;22;22;22;1409;2537;0;0;5;;1
3;1010;0104;01;02;13;;9673;1440;02;;;9750;1905;0265;3;;;51;51;51;423335;635425;0;0;5;;1
3;1010;0104;01;03;02;;9750;1940;53;;;9750;1955;0015;0;;;01;01;01;870;1000;0;0;5;;1
3;1010;0104;01;04;53;;9750;2200;02;;;9750;2215;0015;0;;;01;01;01;870;1000;0;0;5;;1
3;1010;0104;02;01;01;;1010;0750;61;23;;1050;0800;0010;0;;;01;01;01;580;667;667;0;5;;2
3;1010;0104;02;02;63;23;1050;0800;01;;;1010;0810;0010;0;;;01;01;01;580;667;667;0;5;;1
3;1010;0104;02;03;01;;1010;1030;42;;;1020;1035;0005;0;;;01;01;01;290;333;333;0;5;;2
3;1010;0104;02;04;42;;1020;1050;01;;;1010;1055;0005;0;;;01;01;01;290;333;333;0;5;;1
3;1010;0104;02;05;01;;1010;1155;64;23;;1050;1205;0010;0;;;01;01;01;580;667;667;0;5;;3
3;1010;0104;02;06;62;23;1050;1210;33;;;1010;1220;0010;0;;;01;01;01;580;667;667;0;5;;3
3;1010;0104;02;07;33;;1010;1230;01;;;1010;1232;0002;0;;;01;01;01;116;133;133;0;5;;1
3;1010;0104;02;08;01;;1010;1445;33;;;1010;1500;0015;0;;;01;01;01;870;1000;1000;0;5;;5
3;1010;0104;02;09;33;;1010;1610;33;;;1060;1613;0003;0;;;01;01;01;174;200;200;0;5;;5
3;1010;0104;02;10;33;;1060;1630;32;;;1010;1640;0010;0;;;01;01;01;580;667;667;0;5;;5
3;1010;0104;02;11;32;;1010;1710;42;;;1020;1720;0010;0;;;01;01;01;580;667;667;0;5;;5
3;1010;0104;02;12;42;;1020;1725;01;;;1010;1730;0005;0;;;01;01;01;290;333;333;0;5;;1
3;1010;0104;02;13;01;;1010;1850;51;;;1020;1900;0010;0;;;01;01;01;580;667;667;0;5;;2
3;1010;0104;02;14;51;;1020;2030;01;;;1010;2040;0010;0;;;01;01;01;580;667;667;0;5;;1
3;1010;0104;03;01;01;;1010;1030;42;;;1020;1035;0005;0;;;01;01;01;290;333;333;0;5;;2
3;1010;0104;03;02;42;;1020;1050;01;;;1010;1055;0005;0;;;01;01;01;290;333;333;0;5;;1
3;1010;0104;03;03;01;;1010;1155;53;;;1050;1205;0010;0;;;01;01;01;580;667;667;0;5;;2
3;1010;0104;03;04;53;;1050;1300;01;;;1010;1310;0010;0;;;01;01;01;580;667;667;0;5;;1
3;1010;0104;03;05;01;;1010;1312;33;;;1050;1322;0010;0;;;01;01;01;580;667;667;0;3;;2
3;1010;0104;03;06;33;;1050;1325;24;;;1033;1330;0005;0;;;01;01;01;290;333;333;0;3;;2
3;1010;0104;03;07;24;;1033;1730;01;;;1010;1740;0010;0;;;01;01;01;580;667;667;0;9;;1
3;1010;0104;04;01;01;;1010;0750;23;;;1050;0800;0010;0;;;01;01;01;580;667;667;0;8;;1
3;1010;0104;04;02;23;;1050;1210;33;;;1010;1220;0010;0;;;01;01;01;580;667;667;0;4;;2
3;1010;0104;04;03;33;;1010;1230;01;;;1010;1232;0002;0;;;01;01;01;116;133;133;0;4;;2
3;1010;0104;04;04;01;;1010;1445;33;;;1010;1500;0015;0;;;01;01;01;870;1000;1000;0;5;;5
3;1010;0104;04;05;33;;1010;1610;33;;;1060;1613;0003;0;;;01;01;01;174;200;200;0;5;;5
3;1010;0104;04;06;33;;1060;1630;32;;;1010;1640;0010;0;;;01;01;01;580;667;667;0;5;;5
3;1010;0104;04;07;32;;1010;1710;42;;;1020;1720;0010;0;;;01;01;01;580;667;667;0;5;;5
3;1010;0104;04;08;42;;1020;1725;01;;;1010;1730;0005;0;;;01;01;01;290;333;333;0;5;;1
3;1010;0126;01;01;01;;1010;0800;51;;;1253;0825;0025;1;;;33;33;33;4885;7327;7327;0;5;;2
3;1010;0126;01;02;51;;1253;1230;01;;;1010;1310;0040;1;;;33;33;33;4885;7327;7327;0;5;;1
3;1010;0126;01;03;01;;1010;2030;33;;;1010;2035;0005;0;;;01;01;01;290;333;333;0;5;;2
3;1010;0126;01;04;33;;1010;2050;01;;;1010;2055;0005;0;;;01;01;01;290;333;333;0;5;;1
3;1010;0059;01;01;01;;1010;1400;33;;;1010;1405;0005;0;;;01;01;01;290;333;333;0;5;;3
3;1010;0059;01;02;33;;1010;1435;30;;;1011;1450;0015;0;;;01;01;01;870;1000;1000;0;5;;3
3;1010;0059;01;03;30;;1011;1600;01;;;1010;1620;0020;0;;;01;01;01;1159;1333;1333;0;5;;1
3;1010;0062;01;01;01;;1010;0930;25;;;1253;1000;0030;1;;;33;33;33;4834;7251;7251;0;8;;1
3;1010;0062;01;02;25;;1253;1800;01;;;1010;1830;0030;1;;;33;33;33;4834;7251;7251;0;9;;1
3;1010;0007;01;01;01;;1010;0930;25;;;1308;0950;0020;1;;;33;33;33;3486;5229;5229;0;8;;1
3;1010;0007;01;02;25;;1308;1200;01;;;1010;1220;0020;1;;;33;33;33;3486;5229;5229;0;9;;1
3;1010;0007;01;03;01;;1010;1330;25;;;1308;1350;0020;1;;;33;33;33;3486;5229;5229;0;8;;1
3;1010;0007;01;04;25;;1308;1800;01;;;1010;1820;0020;1;;;33;33;33;3486;5229;5229;0;9;;1
3;1010;0022;01;01;01;;1010;0830;25;;;1093;0855;0025;0;;;01;01;01;1449;1667;1667;0;8;;1
3;1010;0022;01;02;25;;1093;1230;71;01;;1015;1247;0017;1;;;33;33;33;2068;3102;3102;0;4;;3
3;1010;0022;01;03;73;01;1015;1247;42;;;1010;1255;0008;0;;;01;01;01;464;533;533;0;4;;3
3;1010;0022;01;04;42;;1010;1300;01;;;1010;1305;0005;0;;;01;01;01;290;333;333;0;4;;3
3;1010;0022;01;05;01;;1010;1630;32;;;1011;1640;0010;0;;;01;01;01;580;667;667;0;5;;2
3;1010;0022;01;06;32;;1011;1730;01;;;1010;1740;0010;0;;;01;01;01;580;667;667;0;5;;1
3;1010;0046;01;01;01;;1010;0730;25;;;1190;0800;0030;2;;;33;33;33;2874;4311;4311;0;8;;1
3;1010;0046;01;02;25;;1190;1730;01;;;1010;1800;0030;2;;;33;33;33;2874;4311;4311;0;9;;1
3;1010;0061;01;01;01;;1010;0720;25;;;1302;0740;0020;2;;;33;33;33;3876;5814;5814;0;8;;1
3;1010;0061;01;02;25;;1302;1950;01;;;1010;2010;0020;2;;;33;33;33;3876;5814;5814;0;9;;1
3;1010;0071;01;01;01;;1010;1000;52;;;1064;1030;0030;0;;;01;01;01;1739;2000;2000;0;5;;3
3;1010;0071;01;02;52;;1064;1030;32;;;1011;1100;0030;0;;;01;01;01;1739;2000;2000;0;5;;3
3;1010;0071;01;03;32;;1011;1110;01;;;1010;1120;0010;0;;;01;01;01;580;667;667;0;5;;1
3;1010;0071;01;04;01;;1010;1400;30;;;1010;1405;0005;0;;;01;01;01;290;333;333;0;5;;2
3;1010;0071;01;05;30;;1010;1450;01;;;1010;1455;0005;0;;;01;01;01;290;333;333;0;5;;1
3;1010;0071;01;06;01;;1010;1830;33;;;1010;1832;0002;0;;;01;01;01;116;133;133;0;5;;2
3;1010;0071;01;07;33;;1010;1848;01;;;1010;1850;0002;0;;;01;01;01;116;133;133;0;5;;1
3;1010;0100;01;01;01;;1010;0705;24;;;1193;0745;0040;1;;;32;32;32;3071;4607;4607;0;8;;1
3;1010;0100;01;02;24;;1193;1200;01;;;1010;1235;0035;1;;;31;31;31;4152;6228;6228;0;9;;1
3;1010;0100;01;03;01;;1010;1305;24;;;1193;1340;0035;1;;;32;32;32;3071;4607;4607;0;8;;1
3;1010;0100;01;04;24;;1193;1600;74;24;;1015;1630;0030;1;;;32;32;32;3071;4607;4607;0;4;;4
3;1010;0100;01;05;72;24;1015;1630;52;;;1040;1830;0120;1;;;33;33;33;2502;3753;3753;0;4;;4
3;1010;0100;01;06;52;;1040;1830;54;;;1010;2030;0120;0;;;01;01;01;6957;8000;8000;0;4;;4
3;1010;0100;01;07;54;;1010;2225;01;;;1010;2230;0005;0;;;01;01;01;290;333;333;0;4;;4
3;1010;0103;01;01;01;;1010;1900;32;;;1011;1905;0005;0;;;01;01;01;290;333;333;0;5;;2
3;1010;0103;01;02;32;;1011;1940;01;;;1010;1945;0005;0;;;01;01;01;290;333;333;0;5;;1
3;1010;0103;02;01;01;;1010;1000;54;;;1080;1010;0010;2;;;31;31;31;2769;4154;4154;0;5;;2
3;1010;0103;02;02;54;;1080;1500;01;;;1010;1515;0015;1;;;33;33;33;1436;2154;2154;0;5;;1
3;1010;0103;02;03;01;;1010;1700;54;;;1080;1715;0015;2;;;31;31;31;2769;4154;4154;0;5;;2
3;1010;0103;02;04;54;;1080;2045;01;;;1010;2100;0015;1;;;33;33;33;1436;2154;2154;0;5;;1
3;1010;0112;01;01;01;;1010;0820;61;22;;1020;0830;0010;1;;;21;21;21;804;1433;1433;0;1;;2
3;1010;0112;01;02;63;22;1020;0830;11;;;1350;0905;0035;1;;;21;21;21;15059;23630;19986;0;1;;2
3;1010;0112;01;03;11;;1350;1700;64;22;;1020;1735;0035;1;;;21;21;21;15059;22946;19672;0;2;;5
3;1010;0112;01;04;62;22;1020;1740;61;51;;1090;1800;0020;1;;;21;21;21;1943;3689;3689;0;2;;5
3;1010;0112;01;05;63;51;1090;1800;33;;;1010;1815;0015;1;;;21;21;21;2645;3716;3716;0;2;;5
3;1010;0112;01;06;33;;1010;1850;64;51;;1090;1920;0030;1;;;21;21;21;2645;3729;3729;0;2;;5
3;1010;0112;01;07;62;51;1090;1930;01;;;1010;2000;0030;1;;;21;21;21;2645;3716;3716;0;2;;5
3;1010;0112;02;01;01;;1010;0710;13;;;9621;0830;0080;1;;;21;21;21;91695;111571;19431;0;1;;2
3;1010;0112;02;02;13;;9621;1125;11;;;1350;1230;0065;1;;;21;21;21;76856;96991;897;0;1;;2
3;1010;0112;02;03;11;;1350;1930;01;;;1010;2015;0045;1;;;21;21;21;14870;23685;20411;0;7;;1
3;1010;0112;03;01;01;;1010;0645;51;;;1064;0655;0010;0;;;01;01;01;580;667;667;0;5;;2
3;1010;0112;03;02;51;;1064;0805;01;;;1010;0815;0010;0;;;01;01;01;580;667;667;0;5;;1
3;1010;0112;04;01;01;;1010;0800;51;;;1030;0810;0010;1;;;33;33;33;1791;2686;2686;0;3;;2
3;1010;0112;04;02;51;;1030;0940;24;;;1023;1000;0020;1;;;33;33;33;1122;1684;1684;0;3;;2
3;1010;0112;04;03;24;;1023;1200;01;;;1010;1210;0010;0;;;01;01;01;580;667;667;0;9;;1
3;1010;0112;04;04;01;;1010;1245;24;;;1023;1255;0010;0;;;01;01;01;580;667;667;0;8;;1
3;1010;0112;04;05;24;;1023;1500;01;;;1010;1510;0010;0;;;01;01;01;580;667;667;0;9;;1
3;1010;0112;04;06;01;;1010;1550;24;;;1023;1600;0010;0;;;01;01;01;580;667;667;0;8;;1
3;1010;0112;04;07;24;;1023;1730;01;;;1010;1740;0010;0;;;01;01;01;580;667;667;0;9;;1
3;1010;0112;05;01;01;;1010;0745;23;;;1010;0800;0015;0;;;01;01;01;870;1000;1000;0;8;;1
3;1010;0112;05;02;23;;1010;1500;41;;;1010;1515;0015;0;;;01;01;01;870;1000;1000;0;5;;2
3;1010;0112;05;03;41;;1010;1630;23;;;1010;1640;0010;0;;;01;01;01;580;667;667;0;5;;1
3;1010;0112;05;04;23;;1010;1715;01;;;1010;1730;0015;0;;;01;01;01;870;1000;1000;0;9;;1
3;1010;0112;06;01;01;;1010;0820;22;;;1020;0830;0010;1;;;22;22;22;804;1433;1433;0;8;;1
3;1010;0112;06;02;22;;1020;1740;51;;;1090;1800;0020;1;;;22;22;22;1943;3689;3689;0;4;;2
3;1010;0112;06;03;51;;1090;1930;01;;;1010;2000;0030;1;;;22;22;22;2645;3716;3716;0;4;;2
3;1010;0159;01;01;01;;1010;0740;11;;;1120;0800;0020;1;;;33;33;33;3975;5963;5963;0;6;;1
3;1010;0159;01;02;11;;1120;1200;53;;;1120;1205;0005;0;;;01;01;01;290;333;333;0;5;;2
3;1010;0159;01;03;53;;1120;1230;11;;;1120;1235;0005;0;;;01;01;01;290;333;333;0;5;;1
3;1010;0159;01;04;11;;1120;1710;01;;;1010;1730;0020;1;;;33;33;33;3975;5963;5963;0;7;;1
3;1010;0159;01;05;01;;1010;1830;51;;;1090;1900;0030;2;;;33;33;21;2978;4305;4305;0;5;;2
3;1010;0159;01;06;51;;1090;2130;01;;;1010;2140;0010;1;;;21;21;21;2645;3716;3716;0;5;;1
3;1010;0159;02;01;01;;1010;0700;13;;;9750;0910;0130;1;;;51;51;51;201881;302822;20256;0;5;;3
3;1010;0159;02;02;13;;9750;1700;54;;;9750;1730;0030;1;;;39;39;39;5372;8058;0;0;5;;3
3;1010;0159;03;01;01;;1010;0845;11;;;9620;0945;0060;3;;;51;51;51;45444;68490;19214;0;6;;1
3;1010;0159;03;02;11;;9620;1625;01;;;1010;1705;0040;3;;;51;51;51;45444;68490;19612;0;7;;1
3;1010;0159;03;03;01;;1010;1715;32;;;1051;1720;0005;1;;;11;11;11;677;808;808;0;5;;2
3;1010;0159;03;04;32;;1051;1745;01;;;1010;1750;0005;1;;;11;11;11;677;808;808;0;5;;1
3;1010;0159;03;05;01;;1010;1800;33;;;1010;1805;0005;0;;;01;01;01;290;333;333;0;5;;2
3;1010;0159;03;06;33;;1010;1820;01;;;1010;1825;0005;0;;;01;01;01;290;333;333;0;5;;1
3;1010;0159;03;07;01;;1010;1930;54;;;1030;1940;0010;1;;;11;11;11;1063;1417;1417;0;5;;3
3;1010;0159;03;08;54;;1030;2030;53;;;1020;2040;0010;1;;;11;11;11;510;1532;1532;0;5;;3
3;1010;0159;03;09;53;;1020;2200;01;;;1010;2210;0010;1;;;11;11;11;766;1453;1453;0;5;;1
3;1010;0024;01;01;01;;1010;1110;33;;;1010;1130;0020;0;;;01;01;01;1159;1333;1333;0;5;;2
3;1010;0024;01;02;33;;1010;1210;01;;;1010;1230;0020;0;;;01;01;01;1159;1333;1333;0;5;;1
3;1010;0024;01;03;01;;1010;1945;53;;;1010;1957;0012;1;;;22;22;22;458;715;715;0;5;;2
3;1010;0024;01;04;53;;1010;2100;01;;;1010;2110;0010;1;;;22;22;22;458;1000;1000;0;5;;1
3;1010;0025;01;01;01;;1010;1100;61;41;;1030;1110;0010;0;;;01;01;01;580;667;667;0;5;;2
3;1010;0025;01;02;63;41;1030;1200;01;;;1010;1210;0010;0;;;01;01;01;580;667;667;0;5;;1
3;1010;0025;01;03;01;;1010;1400;31;;;1011;1415;0015;0;;;01;01;01;870;1000;1000;0;5;;2
