MP1;MP2;ECH;ANNE;M1;M2;M3;M3A;M3D;M5;M6A;M7A1;M13A;M14A;M7A;M8A;M9A;M6B;M7B1;M13B;M14B;M7B;M8B;M9B;M6C;M7C1;M13C;M14C;M7C;M8C;M9C;M6D;M7D1;M13D;M14D;M7D;M8D;M9D;M14;M15A;M16A;M20A;M17A;M18A;M19A;M15B;M16B;M20B;M17B;M18B;M19B;M15C;M16C;M20C;M17C;M18C;M19C;M15D;M16D;M20D;M17D;M18D;M19D;M20;M21;M22;COEM;ML2A;ML2B;ML2C;M22B;M22C;ML24;MP3;MFIN
1;1010;0020;20160109;4;3;1;3;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;3;53.82657;2014;1;34320;;;3;5;0
1;1010;0055;20151216;4;3;2;;1;1;1;3;2008;06;1;2;2;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;01;00;3;41.84241;2012;1;62604;00;00;3;2;0
1;1010;0068;20160206;4;3;2;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;01;00;3;53.82657;2016;1;62401;00;00;3;5;0
1;1010;0092;20160302;4;3;1;4;1;1;1;3;2000;05;1;2;2;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;3;53.82657;2015;1;59350;;;3;2;0
1;1010;0119;20160226;4;3;2;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;3;41.84241;2015;1;59350;;;4;4;0
1;1010;0019;20160121;5;3;2;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;3;53.82657;2015;3;05061;;;4;3;0
1;1010;0035;20160319;4;1;1;4;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;1;41.84241;2012;1;59350;;;3;5;0
1;1010;0104;20160128;4;3;1;1;1;1;1;3;2015;10;2;4;2;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;02;00;1;88.83355;2014;1;59570;00;02;3;3;0
1;1010;0126;20160227;3;3;2;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;01;00;1;53.82657;2015;3;59378;00;00;3;5;0
1;1010;0059;20160305;4;3;2;;1;1;1;1;2003;05;1;2;2;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;1;53.82657;2016;2;02408;;;3;5;0
1;1010;0062;20160224;4;3;2;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;1;53.82657;2015;1;59360;;;3;2;0
1;1010;0007;20160224;4;3;1;1;1;1;1;3;2008;11;1;1;2;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;01;00;1;53.82657;2015;1;59350;00;00;3;2;0
1;1010;0022;20160120;4;3;2;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;01;00;3;53.82657;2015;1;74012;00;00;3;2;0
1;1010;0046;20160120;4;3;2;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;01;00;3;53.82657;2014;3;62193;00;00;3;2;0
1;1010;0061;20160119;4;3;2;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;3;53.82657;2014;1;62907;;;3;1;0
1;1010;0071;20160109;4;4;1;1;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;1;41.84241;2015;2;62152;;;3;5;0
1;1010;0100;20160120;4;3;1;4;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;1;53.82657;2015;1;59999;;;3;2;0
1;1010;0103;20160203;4;1;1;3;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;1;41.84241;1995;;;;;3;2;0
1;1010;0112;20160302;4;1;1;4;1;2;1;3;2013;05;1;1;2;1;1;2012;06;1;1;3;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;1;88.83355;2012;3;59350;;;4;2;0
1;1010;0159;20160317;4;3;2;;1;2;1;1;1996;04;1;2;2;1;1;2000;05;1;2;2;;;;;;;;;;;;;;;2;3;4;2;2006;2;2;2;4;1;2009;2;2;;;;;;;;;;;;;01;00;1;36.55035;2011;1;59350;00;00;3;3;0
1;1010;0024;20160316;4;3;1;4;1;1;1;1;2000;04;1;1;2;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;1;53.82657;2002;;;;;3;2;0
1;1010;0025;20160319;4;3;1;4;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;02;00;1;41.84241;2012;1;62498;01;01;3;5;0
