OP1;OP2;ECH;PER;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;O11;O12;O13;O14;O15;O16;O17;O18;O50;O51;O52;O53;O34;O35;O36;O40A;O40B;O40C;O41A;O41B;O41C;O42A;O42B;O42C;COEO;OR1;OR2A;OR2B;OR3;OR4;OR5A;OR5B;OR5C;OR5D;O43A;O43B;O43C;OFIN
5;1010;0020;01;1;1;1;1;1;1;1;4;2;2;1;1;1;1;2;1;2;6;2;1;2;2;1;1;1;07;10;24;04;13;21;04;17;29;62.43746;1;1;0;4;;0;0;0;0;05;11;16;0
5;1010;0055;02;1;1;1;1;1;1;1;6;3;1;1;1;3;1;1;1;1;6;2;1;2;2;2;1;3;35;22;27;34;33;03;17;15;11;72.49861;2;3;;4;;0;0;0;0;02;04;08;0
5;1010;0068;01;1;1;1;1;1;1;1;2;1;2;1;1;2;1;2;1;1;1;3;1;2;1;1;2;2;03;01;24;03;02;18;16;01;17;62.43746;1;1;2;2;2;0;0;0;0;21;09;11;0
5;1010;0092;01;1;1;1;1;1;1;1;7;1;2;1;2;2;1;2;1;1;8;2;1;2;2;1;1;1;03;01;07;02;03;21;07;03;02;62.43746;1;1;2;4;;0;0;0;0;07;21;09;0
5;1010;0119;02;1;1;1;1;1;1;1;4;2;2;1;1;2;1;1;1;1;9;2;1;1;2;1;1;2;03;16;18;03;07;27;17;04;;97.07227;3;1;2;4;;2;1;2;1;01;33;;0
5;1010;0019;01;1;1;1;1;1;1;1;4;1;2;1;1;2;1;1;1;1;6;1;1;3;2;1;1;2;07;05;01;04;28;;29;35;;62.43746;1;3;;3;2;0;0;0;0;21;;;0
5;1010;0035;02;1;1;1;1;1;1;1;2;3;1;1;1;2;1;1;2;2;2;2;1;2;2;1;1;1;24;28;30;03;22;04;15;25;03;72.49861;3;1;0;2;2;3;1;2;3;07;17;11;0
5;1010;0104;01;1;1;1;1;1;1;1;2;1;1;1;2;2;1;1;1;1;7;2;1;2;2;1;1;2;24;28;36;28;03;24;25;03;17;161.0068;1;1;0;3;3;0;0;0;0;17;03;04;0
5;1010;0126;01;1;1;1;1;1;1;1;1;1;2;2;2;2;1;1;1;1;6;1;2;2;1;1;1;2;01;03;22;11;14;28;21;29;;46.63153;;1;2;2;3;0;0;0;0;02;17;;0
5;1010;0059;01;1;1;1;1;1;1;1;6;1;1;1;1;1;1;1;1;1;8;1;1;2;1;1;1;1;03;22;06;23;02;14;21;29;;46.63153;;1;2;2;3;0;0;0;0;21;15;04;0
5;1010;0062;01;1;1;2;1;1;2;1;1;2;2;1;2;2;1;2;2;2;6;3;2;2;2;1;2;2;06;14;01;37;25;;07;01;25;62.43746;1;1;0;4;;0;1;0;1;;;;0
5;1010;0007;01;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;2;1;2;1;2;2;1;1;1;24;28;25;03;02;04;17;02;03;48.77913;1;1;2;3;1;3;1;1;0;17;21;33;0
5;1010;0022;01;1;2;1;1;2;1;1;7;2;2;1;1;2;1;1;3;3;6;3;1;2;2;1;1;2;22;03;;03;01;;04;01;;62.43746;3;2;0;4;;0;0;0;0;09;08;;0
5;1010;0046;01;1;1;1;1;1;1;1;6;1;3;2;2;1;1;1;1;1;1;2;1;2;1;1;1;2;;;;;;;;;;62.43746;2;1;0;4;;0;0;0;0;;;;0
5;1010;0061;01;1;1;1;1;1;1;1;2;2;1;2;2;2;2;1;1;1;7;1;1;2;3;1;1;2;28;24;34;35;28;01;03;16;10;62.43746;1;2;0;4;;0;0;0;0;13;21;25;0
5;1010;0071;02;1;1;2;1;3;3;1;1;1;1;3;3;3;1;3;1;1;1;1;1;2;2;3;1;1;03;10;16;03;10;22;;;;132.1088;;2;0;4;;0;0;0;0;11;13;18;0
5;1010;0100;01;1;2;1;1;2;1;1;6;1;2;1;1;2;2;1;2;2;7;2;1;2;2;1;1;1;03;24;;27;37;;29;26;;62.43746;1;2;0;2;2;2;1;1;3;11;;;0
5;1010;0103;02;1;1;1;1;1;1;1;4;1;1;2;2;2;1;1;1;1;6;2;1;2;1;1;1;1;11;07;01;14;18;;26;27;04;72.49861;;1;0;4;;3;1;1;1;02;11;03;0
5;1010;0112;01;1;1;1;1;1;1;1;4;1;1;1;1;2;1;1;1;1;3;2;1;1;3;1;1;1;25;24;22;02;27;23;25;38;;322.0137;1;2;0;4;;2;1;2;1;03;11;17;0
