PP1;PP2;ECH;PER;PP3;P1;P2;P3;P4;P4A;P4B;P5;P6;P7;P8;P9;P10;P12;P13;DP13;P15;P17;P17A;P15A;P23A;P20;P21;P23;P24;P25;P19;P19A;COEQ;PL9A;PL9B;PLP2;PL27;PL24;PL25;PL26;PL28;PL29;PWE;PFIN
2;1010;0020;01;5;1;2;1;021;1;1;1;0;4;0;88;4;5;1500;9065;4;;2;1;1;5;5;5;4;1;1;;63.44084;341413;;0;0;;;;;;;
2;1010;0055;01;2;1;1;1;032;1;1;1;6;1;0;41;4;5;9620;43344;1;4;;1;2;4;5;1;5;5;1;1;37.22053;5245   3;;0;0;;;;;;;
2;1010;0055;02;2;1;2;2;025;1;1;2;4;1;0;41;2;5;1120;3216;4;;2;1;1;4;5;5;2;1;1;1;37.22053;52151533;;1;0;;;;;;;
2;1010;0068;01;5;1;1;1;018;1;1;2;5;2;0;56;4;5;1011;1051;4;;3;3;1;4;5;5;3;2;1;1;63.44084;61442443;;1;0;;;;;;;
2;1010;0092;01;2;1;2;1;021;1;1;1;0;3;0;88;4;5;8888;0;;;;;1;5;5;1;3;2;1;;63.44084;32533;;0;0;;;;;;;
2;1010;0119;01;4;1;1;1;023;1;1;1;0;4;0;86;3;5;1253;6480;4;;3;2;1;5;5;5;5;1;1;;49.31612;451543;;0;0;;;;;;;
2;1010;0119;02;4;1;2;2;022;1;1;1;0;4;0;88;3;5;1253;4948;4;;1;2;1;5;5;5;5;1;1;;49.31612;421543;;0;0;;;;;;;
2;1010;0019;01;3;1;1;1;020;1;1;1;0;4;0;87;4;5;1500;9085;4;;3;1;1;5;5;3;2;1;1;;63.44084;441553;;0;0;;;;;;;
2;1010;0035;01;5;1;1;1;034;1;1;2;6;1;0;32;4;5;1020;800;4;;2;1;1;5;5;5;5;5;1;6;37.22053;5325   3;;0;0;;;;;;;
2;1010;0035;02;5;1;2;2;030;1;1;2;6;1;0;36;4;5;1010;341;4;;2;1;1;5;5;5;4;5;1;1;37.22053;5224   3;;0;0;;;;;;;
2;1010;0104;01;3;1;1;1;043;1;1;1;6;1;0;36;4;5;8888;0;;;;;1;5;5;2;2;4;1;1;94.31228;53 2   3;;0;0;;;;;;;
2;1010;0104;02;3;1;2;2;041;1;1;1;6;6;0;36;4;;;0;;;;;1;5;5;5;5;4;1;;94.31228;4   3;;1;0;;;;;;;
2;1010;0104;03;3;1;1;3;014;1;1;2;0;5;0;85;4;5;1033;1011;;;;;1;5;5;5;5;5;1;;27.51308;4   3;;0;0;;;;;;;
2;1010;0104;04;3;1;2;3;011;1;1;2;0;5;0;84;4;5;1050;848;;;;;1;5;5;5;5;5;1;;27.51308;4   3;;0;0;;;;;;;
2;1010;0126;01;5;1;1;1;032;1;1;1;6;6;0;47;3;;;0;;;;;1;4;5;3;3;2;1;;47.88093;52223;;1;0;;;;;;;
2;1010;0059;01;5;1;2;1;028;1;1;1;6;6;0;81;4;;;0;;;;;2;5;5;1;4;4;1;;47.88093;4   3;;0;0;;;;;;;
2;1010;0062;01;2;1;2;1;022;1;1;1;0;4;0;86;3;5;1253;4517;4;;3;5;1;5;5;5;5;1;1;;63.44084;421553;;0;0;;;;;;;
2;1010;0007;01;2;1;1;1;042;1;1;1;0;3;0;36;3;5;1308;4134;3;;1;1;1;2;5;2;5;1;1;;57.14627;351353;;0;0;;;;;;;
2;1010;0022;01;2;1;2;1;018;1;1;1;0;4;0;86;3;5;1093;1775;4;;3;4;1;3;5;5;5;2;1;;63.44084;442552;;0;0;;;;;;;
2;1010;0046;01;2;1;1;1;022;1;1;1;0;3;0;86;4;5;1190;2960;4;;3;1;1;5;5;5;5;2;1;;63.44084;452253;;0;0;;;;;;;
2;1010;0061;01;1;1;2;1;019;1;1;2;0;4;0;86;3;5;1302;4042;4;;1;1;1;5;5;5;5;1;1;;63.44084;241513;;0;0;;;;;;;
2;1010;0071;01;5;1;1;1;078;1;1;1;6;7;1;31;4;;;0;;;;;1;5;5;2;4;4;1;;54.82357;4   3;;0;0;;;;;;;
2;1010;0071;02;5;1;2;2;068;1;2;1;6;7;0;32;4;;;0;;;;;3;5;5;5;3;3;2;;54.82357;4   3;15;0;0;;;;;;;
2;1010;0100;01;2;1;2;1;018;1;1;2;0;5;0;85;3;5;1193;3504;4;;3;5;1;4;5;5;2;1;1;;63.44084;451113;;0;0;;;;;;;
2;1010;0103;01;2;1;1;1;067;2;1;2;5;7;0;32;4;;;0;;;;;1;5;5;5;4;4;1;;54.82357;5   3;;0;0;;;;;;;
2;1010;0103;02;2;1;1;6;027;1;1;2;2;6;0;61;4;;;0;;;;;1;5;5;5;2;1;1;;37.22053;51423;;0;0;;;;;;;
2;1010;0112;01;2;1;2;2;052;1;1;1;6;2;0;36;4;5;1350;14870;1;3;;5;1;5;5;1;4;4;1;1;94.31228;4334   3;;0;0;;;;;;;
2;1010;0112;02;2;1;1;1;051;1;1;1;6;1;0;21;4;5;1350;14870;1;3;;5;1;5;5;1;4;4;1;1;94.31228;5334   3;;0;0;;;;;;;
2;1010;0112;03;2;1;1;3;018;2;2;2;0;5;0;85;4;1;;0;;;;;1;5;5;5;5;4;1;;104.7006;4   3;;0;0;;;;;;;
2;1010;0112;04;2;1;2;3;017;1;1;2;0;5;0;85;4;5;1023;450;;;;;1;5;5;5;5;3;1;;27.51308;4   3;;0;0;;;;;;;
2;1010;0112;05;2;1;2;3;013;1;2;2;0;5;0;84;4;5;1010;552;;;;;1;5;5;5;4;4;1;;27.51308;4   3;;0;0;;;;;;;
2;1010;0112;06;2;1;1;3;009;2;2;2;0;5;0;83;4;5;1020;804;;;;;1;5;5;5;1;4;1;;91.56173;4   3;;0;0;;;;;;;
2;1010;0159;01;3;1;1;1;030;1;1;1;6;1;0;36;2;5;1120;3812;3;;3;1;1;5;4;2;5;1;1;1;32.51303;51321453;;0;0;;;;;;;
2;1010;0159;02;3;1;1;4;028;1;1;1;6;1;0;36;4;5;1318;6635;3;;3;1;1;5;1;2;5;2;1;1;32.51303;51422443;;0;0;;;;;;;
2;1010;0159;03;3;1;2;4;028;1;1;1;6;1;0;36;2;3;9620;43311;3;;3;1;1;1;5;4;2;2;1;1;32.51303;53312453;;0;0;;;;;;;
2;1010;0024;01;2;1;2;1;066;1;1;1;4;7;0;56;4;;;0;;;;;1;5;5;4;4;4;1;;70.52568;4   3;;0;0;;;;;;;
2;1010;0025;01;5;1;2;1;039;1;1;1;4;6;0;56;1;;;0;;;;;1;2;5;4;3;1;1;;37.22053;41433;;0;0;;;;;;;
2;1010;0025;02;5;1;2;3;004;;;;;;;;;;;0;;;;;;;;;;;;;51.82620;;;0;0;;;;;;;
2;1010;0120;01;3;1;1;1;019;1;1;1;0;4;0;86;3;5;1500;8866;1;5;;1;1;5;5;1;5;3;1;;49.31612;35   3;;0;0;;;;;;;
2;1010;0120;02;3;1;1;4;018;1;1;3;0;4;0;86;3;5;1053;1212;4;;3;1;1;5;5;5;3;3;1;;49.31612;35   3;;0;0;;;;;;;
2;1010;0041;01;3;1;2;1;052;1;1;1;5;1;0;46;3;4;1060;143;4;;1;1;1;1;5;5;5;3;1;1;57.14627;5135   3;;1;0;;;;;;;
2;1010;0042;01;1;1;1;1;028;1;1;1;6;1;0;32;4;5;9596;45238;1;4;;1;1;3;5;2;4;4;1;1;47.88093;4131   3;;0;0;;;;;;;
2;1010;0066;01;2;1;2;1;037;1;1;1;6;1;0;32;2;4;1253;6445;3;;3;5;1;3;5;2;4;1;1;1;47.88093;53451522;;1;0;;;;;;;
2;1010;0079;01;2;1;2;1;063;1;1;2;4;7;0;51;4;;;0;;;;;1;4;5;5;3;4;1;;47.57845;3   3;;0;0;;;;;;;
2;1010;0101;01;1;1;2;1;094;1;2;1;4;7;0;32;4;;;0;;;;;2;5;5;5;4;5;1;;70.52568;5   3;;0;0;;;;;;;
2;1010;0131;01;4;1;2;2;059;1;1;1;6;1;0;36;3;3;1050;630;4;;1;4;1;5;5;1;4;5;1;1;32.30763;5333   3;;0;0;;;;;;;
2;1010;0131;02;4;1;1;1;057;1;1;1;6;1;0;36;4;3;1050;630;4;;1;4;1;2;5;2;4;2;1;1;32.30763;53332553;;0;0;;;;;;;
2;1010;0131;03;4;1;2;3;028;1;1;1;4;6;0;66;4;;;0;;;;;1;4;5;4;5;2;1;;32.51303;32553;;0;0;;;;;;;
2;1010;0160;01;2;1;2;1;060;1;1;1;4;6;0;31;4;;;0;;;;;3;5;5;5;3;5;2;;47.57845;4   3;01;0;0;;;;;;;
2;1010;0083;01;5;1;2;1;020;1;1;2;0;4;0;87;4;5;1018;618;4;;1;5;1;5;5;5;5;4;1;;63.44084;34   3;;0;0;;;;;;;
