TP1;TP2;ECH;PER;NDEP;T1;T2;T3;T4;T5;T6;T7;T8;T8B;T8C;T9;T10;T11;TOIS;TDIS;TDIP;TDMO;TDMD;TFIN
4;1010;0020;01;01;1;10;42;1010;9750;00;;;;;;;;206309;309464;21022;667;0;0
4;1010;0020;01;04;1;00;42;9750;1015;15;;;;;;;;206601;309901;20500;0;1000;0
4;1010;0055;01;01;1;01;21;1010;9620;00;1;1;0;0;3;2;00;43344;53361;15520;67;0;0
4;1010;0055;01;02;1;00;21;9620;9620;00;1;1;0;0;3;2;01;955;1719;0;0;0;0
4;1010;0055;01;03;1;00;21;9620;9620;00;1;1;0;0;3;2;00;955;1719;0;0;0;0
4;1010;0055;01;04;1;00;21;9620;9620;00;1;1;0;0;1;2;00;955;1719;0;0;0;0
4;1010;0055;01;05;1;00;21;9620;1010;02;1;1;0;0;2;3;05;43344;54103;15997;0;133;0
4;1010;0055;01;06;1;02;21;1010;1410;00;1;1;0;0;3;2;00;7663;10430;10430;133;0;0
4;1010;0055;01;07;1;00;21;1410;1010;03;1;1;0;0;2;2;05;7663;9286;9286;0;200;0
4;1010;0055;02;01;1;05;33;1025;1125;05;;;;;;;;3448;5172;5172;333;333;0
4;1010;0055;02;02;1;05;33;1125;1025;05;;;;;;;;3448;5172;5172;333;333;0
4;1010;0092;01;01;1;01;21;1010;1401;00;1;1;0;0;3;2;00;12903;17361;17361;67;0;0
4;1010;0092;01;02;1;00;21;1401;1010;02;1;1;0;0;2;3;00;12903;15803;15803;0;133;0
4;1010;0119;01;03;1;03;33;1015;1035;05;;;;;;;;1246;1869;1869;200;333;0
4;1010;0119;02;01;1;05;33;1015;1035;01;;;;;;;;1246;1869;1869;333;67;0
4;1010;0119;02;02;1;01;22;1030;9621;00;;;;;;;;31039;42750;24598;67;0;0
4;1010;0119;02;03;1;00;22;9621;1130;00;;;;;;;;30313;41479;24216;0;0;0
4;1010;0119;02;04;1;05;33;1135;1015;10;;;;;;;;3728;5591;5591;333;667;0
4;1010;0019;01;01;1;03;33;1025;1015;00;;;;;;;;910;1366;1366;200;0;0
4;1010;0019;01;01;2;00;33;1015;1565;10;;;;;;;;7680;11520;11520;0;667;0
4;1010;0019;01;02;1;10;33;1565;1015;00;;;;;;;;7680;11520;11520;667;0;0
4;1010;0019;01;02;2;00;33;1015;1025;03;;;;;;;;910;1366;1366;0;200;0
4;1010;0104;01;01;1;01;22;9673;9673;05;;;;;;;;1409;2537;0;67;333;0
4;1010;0104;01;02;1;05;22;9673;9673;00;;;;;;;;1409;2537;0;333;0;0
4;1010;0104;01;02;2;00;51;9673;9674;00;;;;;;;;24068;36102;0;0;0;0
4;1010;0104;01;02;3;00;51;9674;8756;05;;;;;;;;397857;596786;0;0;333;0
4;1010;0126;01;01;1;02;33;1025;1255;04;;;;;;;;4885;7327;7327;133;267;0
4;1010;0126;01;02;1;04;33;1255;1025;02;;;;;;;;4885;7327;7327;267;133;0
4;1010;0062;01;01;1;02;33;1015;1255;05;;;;;;;;4834;7251;7251;133;333;0
4;1010;0062;01;02;1;05;33;1255;1015;02;;;;;;;;4834;7251;7251;333;133;0
4;1010;0007;01;01;1;01;33;1015;1105;05;;;;;;;;3486;5229;5229;67;333;0
4;1010;0007;01;02;1;05;33;1105;1015;01;;;;;;;;3486;5229;5229;333;67;0
4;1010;0007;01;03;1;01;33;1015;1105;05;;;;;;;;3486;5229;5229;67;333;0
4;1010;0007;01;04;1;05;33;1105;1015;01;;;;;;;;3486;5229;5229;333;67;0
4;1010;0022;01;02;1;03;33;1095;1015;02;;;;;;;;2068;3102;3102;200;133;0
4;1010;0046;01;01;1;02;33;1025;1015;00;;;;;;;;1328;1991;1991;133;0;0
4;1010;0046;01;01;2;00;32;1015;1185;08;;;;;;;;1546;2319;2319;0;533;0
4;1010;0046;01;02;1;08;32;1185;1015;00;;;;;;;;1546;2319;2319;533;0;0
4;1010;0046;01;02;2;00;33;1015;1025;02;;;;;;;;1328;1991;1991;0;133;0
4;1010;0061;01;01;1;03;33;1025;1105;00;;;;;;;;3054;4581;4581;200;0;0
4;1010;0061;01;01;2;00;31;1105;1308;04;;;;;;;;822;1233;1233;0;267;0
4;1010;0061;01;02;1;04;31;1308;1105;00;;;;;;;;822;1233;1233;267;0;0
4;1010;0061;01;02;2;00;33;1105;1025;03;;;;;;;;3054;4581;4581;0;200;0
4;1010;0100;01;01;1;10;32;1015;1195;10;;;;;;;;3071;4607;4607;667;667;0
4;1010;0100;01;02;1;05;31;1190;1025;02;;;;;;;;4152;6228;6228;333;133;0
4;1010;0100;01;03;1;10;32;1015;1195;10;;;;;;;;3071;4607;4607;667;667;0
4;1010;0100;01;04;1;10;32;1195;1015;00;;;;;;;;3071;4607;4607;667;0;0
4;1010;0100;01;05;1;00;33;1015;1045;99;;;;;;;;2502;3753;3753;0;6600;0
4;1010;0103;02;01;1;01;31;1025;1095;00;;;;;;;;1711;2566;2566;67;0;0
4;1010;0103;02;01;2;00;31;1095;1080;01;;;;;;;;1059;1588;1588;0;67;0
4;1010;0103;02;02;1;03;33;1095;1025;03;;;;;;;;1436;2154;2154;200;200;0
4;1010;0103;02;03;1;01;31;1025;1095;00;;;;;;;;1711;2566;2566;67;0;0
4;1010;0103;02;03;2;00;31;1095;1080;01;;;;;;;;1059;1588;1588;0;67;0
4;1010;0103;02;04;1;03;33;1095;1025;03;;;;;;;;1436;2154;2154;200;200;0
4;1010;0112;01;01;1;00;21;1010;1020;00;1;2;0;1;0;;00;804;1433;1433;0;0;0
4;1010;0112;01;02;1;00;21;1020;1350;00;1;1;0;0;1;2;00;15059;23630;19986;0;0;0
4;1010;0112;01;03;1;00;21;1350;1020;00;1;1;0;0;2;1;00;15059;22946;19672;0;0;0
4;1010;0112;01;04;1;00;21;1020;1090;00;1;2;0;1;0;;00;1943;3689;3689;0;0;0
4;1010;0112;01;05;1;00;21;1090;1010;03;1;1;0;0;2;3;03;2645;3716;3716;0;200;0
4;1010;0112;01;06;1;03;21;1010;1090;01;1;1;0;0;2;2;01;2645;3729;3729;200;67;0
4;1010;0112;01;07;1;01;21;1090;1010;00;1;2;0;1;1;2;00;2645;3716;3716;67;0;0
4;1010;0112;02;01;1;02;21;1010;9621;02;2;1;0;0;2;2;03;91695;111571;19431;133;133;0
4;1010;0112;02;02;1;02;21;9621;1350;00;2;1;0;0;1;2;00;76856;96991;897;133;0;0
4;1010;0112;02;03;1;00;21;1350;1010;02;2;1;0;0;1;3;00;14870;23685;20411;0;133;0
4;1010;0112;04;01;1;03;33;1025;1035;01;;;;;;;;1791;2686;2686;200;67;0
4;1010;0112;04;02;1;01;33;1035;1025;07;;;;;;;;1122;1684;1684;67;467;0
4;1010;0112;06;01;1;00;22;1010;1020;00;;;;;;;;804;1433;1433;0;0;0
4;1010;0112;06;02;1;00;22;1020;1090;00;;;;;;;;1943;3689;3689;0;0;0
4;1010;0112;06;03;1;01;22;1090;1010;00;;;;;;;;2645;3716;3716;67;0;0
4;1010;0159;01;01;1;03;33;1025;1125;03;;;;;;;;3975;5963;5963;200;200;0
4;1010;0159;01;04;1;03;33;1125;1025;03;;;;;;;;3975;5963;5963;200;200;0
4;1010;0159;01;05;1;03;33;1025;1035;01;;;;;;;;839;1259;1259;200;67;0
4;1010;0159;01;05;2;01;21;1030;1090;01;1;1;0;0;2;2;01;2139;3046;3046;67;67;0
4;1010;0159;01;06;1;01;21;1090;1010;01;1;1;0;0;2;2;02;2645;3716;3716;67;67;0
4;1010;0159;02;01;1;05;51;1015;8756;05;;;;;;;;201881;302822;20256;333;333;0
4;1010;0159;02;02;1;05;39;8756;9750;04;;;;;;;;5372;8058;0;333;267;0
4;1010;0159;03;01;1;00;11;1010;1015;00;0;1;0;0;6;;00;656;1022;1022;0;0;0
4;1010;0159;03;01;2;00;51;1015;9620;00;;;;;;;;43833;65749;18192;0;0;0
4;1010;0159;03;01;3;00;11;9620;9620;00;0;1;0;0;1;2;00;955;1719;0;0;0;0
4;1010;0159;03;02;1;00;11;9620;9620;00;0;1;0;0;6;;00;955;1719;0;0;0;0
4;1010;0159;03;02;2;00;51;9620;1015;00;;;;;;;;43833;65749;18591;0;0;0
4;1010;0159;03;02;3;00;11;1015;1010;00;0;1;0;0;1;2;00;656;1022;1022;0;0;0
4;1010;0159;03;03;1;00;11;1010;1051;00;0;1;0;0;3;2;00;677;808;808;0;0;0
4;1010;0159;03;04;1;00;11;1051;1010;00;0;1;0;0;1;2;00;677;808;808;0;0;0
4;1010;0159;03;07;1;00;11;1010;1030;00;0;1;0;0;2;2;00;1063;1417;1417;0;0;0
4;1010;0159;03;08;1;00;11;1030;1020;00;0;1;0;0;2;2;00;510;1532;1532;0;0;0
4;1010;0159;03;09;1;00;11;1020;1010;00;0;1;0;0;1;2;00;766;1453;1453;0;0;0
4;1010;0024;01;03;1;02;22;1010;1010;02;;;;;;;;458;715;715;133;133;0
4;1010;0024;01;04;1;02;22;1010;1010;00;;;;;;;;458;1000;1000;133;0;0
4;1010;0025;01;05;1;01;22;1010;1030;00;;;;;;;;1276;1521;1521;67;0;0
4;1010;0025;01;06;1;00;22;1030;1010;01;;;;;;;;1276;1470;1470;0;67;0
4;1010;0120;01;01;1;02;21;1010;1500;03;1;1;0;0;2;2;02;8866;11311;11311;133;200;0
4;1010;0120;01;02;1;03;21;1500;1561;01;1;1;0;0;3;2;00;1378;2037;2037;200;67;0
4;1010;0120;01;03;1;01;21;1561;1500;03;1;1;0;0;2;2;01;1378;1908;1908;67;200;0
4;1010;0120;01;04;1;03;21;1500;1010;05;1;1;0;0;2;3;02;8866;19244;19244;200;333;0
4;1010;0041;01;01;1;03;10;1010;1010;00;0;1;0;0;2;2;00;216;314;314;200;0;0
4;1010;0041;01;02;1;00;10;1010;1010;03;0;1;0;0;1;2;00;216;314;314;0;200;0
4;1010;0042;01;01;1;00;21;1010;9596;03;1;1;0;0;3;2;03;45238;52991;14440;0;200;0
4;1010;0042;01;02;1;03;21;9596;1010;00;1;2;1;0;0;;00;44736;52216;14537;200;0;0
4;1010;0042;01;03;1;00;21;1010;1010;00;1;1;0;0;1;3;00;525;868;868;0;0;0
4;1010;0066;01;02;1;02;31;1060;1010;01;;;;;;;;614;920;920;133;67;0
4;1010;0066;01;02;2;01;33;1015;1255;00;;;;;;;;6343;9514;9514;67;0;0
4;1010;0066;01;02;3;00;22;1253;1248;00;;;;;;;;791;2322;2322;0;0;0
4;1010;0066;01;04;1;00;22;1248;1250;00;;;;;;;;1364;2353;2353;0;0;0
4;1010;0066;01;05;1;00;22;1250;1248;00;;;;;;;;1364;2304;2304;0;0;0
4;1010;0066;01;06;1;00;22;1248;1253;00;;;;;;;;791;2378;2378;0;0;0
4;1010;0066;01;06;2;00;33;1255;1015;03;;;;;;;;6343;9514;9514;0;200;0
4;1010;0131;02;04;1;15;51;1015;8756;00;;;;;;;;201881;302822;20256;1000;0;0
