commune_id,iris_id,geometry,departement_id
59328,593280403,"POLYGON ((702178.6 7061041.8, 702173.8 7061049.9, 702153 7061103.9, 702102 7061261.3, 702113.4 7061272.2, 702229.8 7061380.6, 702389.75 7061528.300000001, 702617.9 7061739.7, 702702.3 7061821, 702708 7061817.1, 702815.1 7061739.9, 702887.9 7061655.4, 702924.5 7061547.8, 702985.3 7061411.4, 702990.5 7061399.8, 702993.4 7061396.3, 702999.5 7061390.1, 702977.4 7061391.1, 702677.8 7061171.3, 702496.0167115936 7061051.181607969, 702266.8 7061093.2, 702221.9 7061067.5, 702178.6 7061041.8))",59
59350,593500115,"POLYGON ((705236.5 7058936.8, 705228.6 7058936.7, 705208.4 7058937.5, 705194.7 7058937.7, 705071.3 7058938.8, 704964.7 7058939.5, 704933.8 7058939.5, 704933.4 7058952.2, 704903.1 7059034.4, 704882.4 7059033.7, 704866 7059033.2, 704871.9 7059037.5, 704875.9 7059041.2, 704880 7059049.8, 704882.9 7059066.6, 704878.4 7059147.3, 704887.3 7059150.3, 704895.4 7059156.2, 704995.3 7059211, 705197 7059274.6, 705270.4 7059297, 705335.4682472498 7059316.704916358, 705401.7 7059335.8, 705443.9 7059347.8, 705460.1 7059351.4, 705464.7 7059336.9, 705471.6 7059315.5, 705502 7059222, 705534.9 7059118.6, 705574.6 7058991.8, 705506.55 7058961.65, 705443.3 7058935.9, 705426.9 7058938, 705408.2 7058946, 705408.7 7058949.2, 705408.8 7058952.2, 705407.7 7058956.5, 705361.4 7059084.3, 705341.7 7059126.4, 705223.7 7059096.2, 705224 7059091.7, 705235.2 7058945.4, 705236.5 7058936.8))",59
59350,593500408,"POLYGON ((703583.8 7057936.3, 703582.1 7057940.7, 703581.3 7057942.7, 703578.4 7057947.8, 703574.7 7057952.2, 703626.5 7058079.9, 703676.5 7058178.3, 703678.7 7058182.6, 703710.8 7058243.4, 703827.1 7058439.3, 703829.6 7058441.3, 703832.7 7058444.7, 703834.4 7058448.1, 703835.4 7058451, 703835.6 7058454.3, 703844.3 7058454.3, 703857.6 7058453.8, 704045.05 7058442.8, 704298.9 7058430, 704342.8 7058427.7, 704339.6 7058350, 704342.7 7058344.2, 704254.4 7058297.8, 704134.35 7058234.45, 703852.5 7058085.35, 703726.6 7058018.5, 703656.8 7057981.4, 703627.9 7057966, 703613.1 7057957.2, 703602.4 7057949.8, 703583.8 7057936.3))",59
59017,590170201,"POLYGON ((691676.9 7066945.1, 691692.2 7066969.5, 691698.8 7066992.9, 691700.8 7067037.4, 691681.5 7067119.5, 691671.7 7067145.5, 691630.2 7067193.9, 691551 7067266.3, 691477.4 7067333.1, 691468.9 7067341.1, 691474.7 7067348.1, 691663.3999999999 7067556.55, 691701.6 7067596.5, 691717.5 7067611.2, 691807.3500000001 7067687.5, 691857.4 7067725.4, 691894.9 7067752.6, 691997.5 7067647.3, 691999.3 7067645.4, 692129.1 7067490.3, 692258 7067311.2, 692261.2 7067305.1, 692304.6 7067222.7, 692343.1 7067151.6, 692346 7067146.3, 692373.7 7067095.7, 692343.7 7067069.8, 692335.7 7067064.1, 692147.3 7066948.3, 692062.3 7066910.6, 691692 7066943.7, 691676.9 7066945.1))",59
59350,593500304,"POLYGON ((703290.8 7059855.4, 703314.3 7059836.4, 703313.9 7059835.8, 703296.3 7059809.5, 703286.8 7059795.6, 703173.5 7059630, 703155.7 7059604, 703147.5 7059597.1, 703085.5 7059546.4, 703060.8 7059526.8, 703055.5 7059522.6, 703027.6 7059500.5, 703011.9 7059523.6, 703006.4 7059531.7, 702967.3 7059589.6, 702924 7059657.8, 702884.8 7059721.9, 702860.3 7059756.7, 702852 7059768.4, 702845.1 7059778, 702828.4 7059795.8, 702807.7 7059817.5, 702742.2 7059885.1, 702736 7059891.5, 702751.2 7059881.1, 703131.2 7059942.3, 703161.9 7059945.9, 703167.7 7059946, 703172.4 7059945.8, 703176.7 7059944.6, 703180.6 7059942.9, 703186.1 7059939.7, 703199.9 7059929.3, 703289.2 7059856.9, 703290.8 7059855.4))",59
59350,593500303,"POLYGON ((702845.1 7059778, 702852 7059768.4, 702860.3 7059756.7, 702884.8 7059721.9, 702924 7059657.8, 702967.3 7059589.6, 703006.4 7059531.7, 703011.9 7059523.6, 703027.6 7059500.5, 703086.5 7059412, 703115.1 7059369.1, 703066.8 7059332.6, 703056.6 7059324.9, 703026.9 7059302.6, 702993.2 7059277.4, 702962.4 7059254.4, 702884.9 7059343.4, 702637.3 7059461.8, 702628.5 7059459.1, 702622.6 7059458.2, 702633.3 7059476.8, 702687.3 7059563.3, 702756.6 7059662.95, 702786.6 7059705.9, 702818.3 7059744.4, 702831.9 7059760.4, 702837.7 7059767.3, 702845.1 7059778))",59
59386,593860105,"POLYGON ((705161.1 7064071, 705159.3 7064069.9, 705149.3500000001 7063935.9, 705231 7063742, 705280.6 7063674.9, 705279.7 7063674.1, 705273.4 7063668.3, 705248.7 7063645.4, 705185.6 7063586.7, 704939.35 7063377.1, 704885.3 7063297.2, 704879.8 7063285.8, 704879.1 7063284.7, 704860.8 7063258.5, 704850.6 7063243.9, 704842.4 7063232.7, 704829.2 7063215.6, 704636.3 7062966.2, 704602 7062938.5, 704512.5 7062891.2, 704508 7062891.4, 704509.4 7062900.3, 704522 7062981.4, 704526.5 7063005.1, 704548.45 7063115.449999999, 704572.6 7063191.1, 704615.8 7063220, 704803.8 7063336.800000001, 705017.9 7063598.5, 705047.5 7063635.8, 704935.6 7063897.4, 704733.75 7064178.825, 704713.3 7064199.7, 704689.4 7064268, 704684.1 7064284.7, 704701.2 7064312.1, 704812.5 7064612.8, 704814.3 7064617.9, 704817.2 7064621.5, 704829.6 7064635.9, 704851.9 7064654.1, 704918.7 7064703.2, 704942.8 7064719.7, 704948 7064722.8, 704957.9 7064727.2, 704987.7 7064738, 705007.7 7064744.4, 705024.8 7064748.3, 705037.1 7064749.5, 705048.7 7064749.7, 705053.6 7064749.5, 705058.4 7064749.3, 705071.5 7064747.4, 705084 7064744, 705104.6 7064736.6, 705125.9 7064727.2, 705140.4 7064718.4, 705268.4 7064627.1, 705298.1 7064603.9, 705325.9 7064577, 705335.7 7064564.6, 705343 7064555.3, 705347.7 7064547, 705351.8 7064538.5, 705354.2 7064531.3, 705355.2 7064523, 705355.7 7064514.4, 705355 7064505.3, 705349.7 7064491.1, 705349.3 7064490.1, 705344.1 7064478.3, 705263.75 7064300.8, 705164.4 7064082.7, 705161.1 7064071.1, 705161.1 7064071))",59
59350,593502502,"POLYGON ((707688.4 7059087.4, 707692.8 7059086.7, 707942.3 7059101.5, 707947.4 7059107.5, 707969.9 7059095.1, 707978 7059090, 707997.6 7059079, 708016.3 7059068.6, 708058.6 7059045.3, 708054.4 7059036.1, 708083.6 7058736.5, 708055.5 7058633.6, 708048.5 7058618.8, 708046.9 7058615.4, 708029.1 7058579.7, 708027.9 7058577.9, 708026.3 7058576.5, 708024.5 7058575.4, 708020.6 7058574.2, 707669.9 7058498.4, 707647.3 7058493.6, 707645 7058502.8, 707565.5 7058845.4, 707591.2 7058866.6, 707600.6 7058873.4, 707634.8 7058898.6, 707677.1 7058929.9, 707682.2 7058936.3, 707663.7 7058949.3, 707643.1 7058961.6, 707658.1 7059026.8, 707688.4 7059087.4))",59
59512,595121202,"POLYGON ((714201.5 7063936.4, 714125.4 7064015, 713854.8 7064283.7, 713843.4 7064298.5, 713872.6 7064328.8, 713967 7064422.9, 713988.1 7064444, 713945.8 7064488.8, 713935.9 7064498.9, 713853.6 7064582.5, 713791.8 7064643.7, 713784 7064650.3, 713788.5 7064657.8, 713877 7064777.5, 713923.5 7064820.1, 713935.3 7064828.4, 714028 7064893.7, 714097.3 7064826.2, 714126.3 7064852.5, 714227.2 7064948.8, 714243.1 7064964, 714261.3 7064981.4, 714317.7 7065035.9, 714342.7 7065059.75, 714381.5 7065096.7, 714384.8 7065099.7, 714433.8 7065023.4, 714436.5 7065019, 714453.6 7064991.7, 714500.3 7064921.1, 714535.9 7064870.3, 714596.3 7064784.3, 714674.5 7064673.9, 714693.4 7064645.3, 714683.9 7064635.2, 714660.9 7064613.6, 714651.2 7064604.5, 714634.3 7064588.6, 714472.7 7064423.1, 714368.3 7064244.7, 714203 7063937.1, 714201.5 7063936.4))",59
59350,593500112,"POLYGON ((704318.1 7059752.1, 704327.7 7059746.4, 704368.4 7059724.3, 704506.7 7059708.85, 704562.8 7059786.5, 704566.2 7059791.9, 704568.1 7059794.7, 704582.6 7059803.2, 704612.2 7059754.8, 704640.9 7059716, 704704 7059640.1, 704695.1 7059633, 704689.3 7059629.1, 704603.2 7059575.2, 704475.9 7059491.9, 704421.7 7059453.6, 704386.5 7059416.8, 704382.1 7059417.9, 704371.4 7059420.7, 704370 7059422.2, 704367.5 7059424.3, 704354.5 7059435.9, 704355.4 7059438.5, 704356.4 7059443.1, 704310.4 7059484.2, 704204.9 7059574.6, 704139.2 7059633.7, 704075.9 7059782.3, 703977 7059882.1, 703957.7 7059900.3, 703878.5 7059978.1, 703866.9 7059989.5, 703922.9 7060015, 703963.9 7059970.7, 703988.1 7059945.3, 704072.5 7059980.2, 704136.3 7060042.6, 704144.3 7060050.6, 704151.6 7060058.6, 704152.8 7060060.5, 704154.9 7060063.9, 704179.4 7060112.9, 704218.4 7060191.1, 704243.9 7060179.5, 704247.1 7060177.9, 704296.3 7060152.7, 704390 7060096.7, 704406.2 7060085.5, 704417.3 7060075.8, 704437.6 7060051.4, 704443 7060043.7, 704456 7060025.1, 704453.2 7060023.3, 704420.1 7060000.9, 704389.6 7059979.1, 704347 7059952.2, 704219.9 7059865.4, 704242.3 7059830.2, 704304 7059741.6, 704318.1 7059752.1))",59
