MP2,ECH,ANNE,M5,M14,M20,M21,COEM,ML2B,ML24,menage_id_constr,household_id
1010,0020,20160109,0,0,0,,53.82657,1.0,3,10100020,0
1010,0055,20151216,1,0,1,0.0,41.84241,1.0,3,10100055,1
1010,0068,20160206,0,0,1,0.0,53.82657,1.0,3,10100068,2
1010,0092,20160302,1,0,0,,53.82657,1.0,3,10100092,3
1010,0119,20160226,0,0,0,,41.84241,1.0,4,10100119,4
1010,0019,20160121,0,0,0,,53.82657,3.0,4,10100019,5
1010,0035,20160319,0,0,0,,41.84241,1.0,3,10100035,6
1010,0104,20160128,1,0,2,0.0,88.83355,1.0,3,10100104,7
1010,0126,20160227,0,0,1,0.0,53.82657,3.0,3,10100126,8
1010,0059,20160305,1,0,0,,53.82657,2.0,3,10100059,9
1010,0062,20160224,0,0,0,,53.82657,1.0,3,10100062,10
1010,0007,20160224,1,0,1,0.0,53.82657,1.0,3,10100007,11
1010,0022,20160120,0,0,1,0.0,53.82657,1.0,3,10100022,12
1010,0046,20160120,0,0,1,0.0,53.82657,3.0,3,10100046,13
1010,0061,20160119,0,0,0,,53.82657,1.0,3,10100061,14
1010,0071,20160109,0,0,0,,41.84241,2.0,3,10100071,15
1010,0100,20160120,0,0,0,,53.82657,1.0,3,10100100,16
1010,0103,20160203,0,0,0,,41.84241,,3,10100103,17
1010,0112,20160302,2,0,0,,88.83355,3.0,4,10100112,18
1010,0159,20160317,2,2,1,0.0,36.55035,1.0,3,10100159,19
1010,0024,20160316,1,0,0,,53.82657,,3,10100024,20
1010,0025,20160319,0,0,2,0.0,41.84241,1.0,3,10100025,21
1010,0120,20160303,1,0,0,,41.84241,2.0,3,10100120,22
1010,0041,20151210,0,0,1,0.0,53.82657,1.0,1,10100041,23
1010,0042,20151208,1,0,1,0.0,53.82657,1.0,3,10100042,24
1010,0066,20160120,1,0,1,0.0,53.82657,1.0,4,10100066,25
1010,0079,20160113,1,0,0,,53.82657,,3,10100079,26
1010,0101,20160202,0,0,0,,53.82657,,3,10100101,27
1010,0131,20160304,2,0,3,0.0,36.55035,,1,10100131,28
1010,0160,20160316,0,0,0,,53.82657,2.0,3,10100160,29
1010,0083,20160109,0,0,0,,53.82657,2.0,3,10100083,30
1010,0001,20160311,0,0,0,,53.82657,2.0,3,10100001,31
