PP2,ECH,PER,PP3,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P12,P13,DP13,P15,P17,P17A,P15A,P23A,P20,P21,P23,P24,P25,P19,P19A,COEQ,PL9A,PL9B,PLP2,PL27,PL24,PL25,PL26,PL28,PL29,PWE,menage_id_constr,household_id,person_id_constr,person_id,person_weight,trip_weight,number_of_trips,is_passenger
1010,0020,01,5,1,2,1,21,1.0,0.0,4.0,0.0,88.0,4.0,5.0,1500.0,9065,4.0,,2.0,1.0,1.0,5.0,5.0,5.0,4.0,1.0,1.0,,63.44084,341413,,0,0,,,,,,,10100020,0,1010002001,0,63.44084,63.44084,5,False
1010,0055,01,2,1,1,1,32,1.0,6.0,1.0,0.0,41.0,4.0,5.0,9620.0,43344,1.0,4.0,,1.0,2.0,4.0,5.0,1.0,5.0,5.0,1.0,1.0,37.22053,5245   3,,0,0,,,,,,,10100055,1,1010005501,1,37.22053,37.22053,7,False
1010,0055,02,2,1,2,2,25,2.0,4.0,1.0,0.0,41.0,2.0,5.0,1120.0,3216,4.0,,2.0,1.0,1.0,4.0,5.0,5.0,2.0,1.0,1.0,1.0,37.22053,52151533,,1,0,,,,,,,10100055,1,1010005502,2,37.22053,37.22053,4,False
1010,0068,01,5,1,1,1,18,2.0,5.0,2.0,0.0,56.0,4.0,5.0,1011.0,1051,4.0,,3.0,3.0,1.0,4.0,5.0,5.0,3.0,2.0,1.0,1.0,63.44084,61442443,,1,0,,,,,,,10100068,2,1010006801,3,63.44084,63.44084,5,False
1010,0092,01,2,1,2,1,21,1.0,0.0,3.0,0.0,88.0,4.0,5.0,8888.0,0,,,,,1.0,5.0,5.0,1.0,3.0,2.0,1.0,,63.44084,32533,,0,0,,,,,,,10100092,3,1010009201,4,63.44084,63.44084,4,False
1010,0119,01,4,1,1,1,23,1.0,0.0,4.0,0.0,86.0,3.0,5.0,1253.0,6480,4.0,,3.0,2.0,1.0,5.0,5.0,5.0,5.0,1.0,1.0,,49.31612,451543,,0,0,,,,,,,10100119,4,1010011901,5,49.31612,49.31612,4,False
1010,0119,02,4,1,2,2,22,1.0,0.0,4.0,0.0,88.0,3.0,5.0,1253.0,4948,4.0,,1.0,2.0,1.0,5.0,5.0,5.0,5.0,1.0,1.0,,49.31612,421543,,0,0,,,,,,,10100119,4,1010011902,6,49.31612,49.31612,4,True
1010,0019,01,3,1,1,1,20,1.0,0.0,4.0,0.0,87.0,4.0,5.0,1500.0,9085,4.0,,3.0,1.0,1.0,5.0,5.0,3.0,2.0,1.0,1.0,,63.44084,441553,,0,0,,,,,,,10100019,5,1010001901,7,63.44084,63.44084,2,False
1010,0035,01,5,1,1,1,34,2.0,6.0,1.0,0.0,32.0,4.0,5.0,1020.0,800,4.0,,2.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,6.0,37.22053,5325   3,,0,0,,,,,,,10100035,6,1010003501,8,37.22053,37.22053,3,False
1010,0035,02,5,1,2,2,30,2.0,6.0,1.0,0.0,36.0,4.0,5.0,1010.0,341,4.0,,2.0,1.0,1.0,5.0,5.0,5.0,4.0,5.0,1.0,1.0,37.22053,5224   3,,0,0,,,,,,,10100035,6,1010003502,9,37.22053,37.22053,4,False
