household_id,household_weight,household_size,number_of_vehicles,number_of_bikes,departement_id,income_class,consumption_units,commune_id,zone_fine_id
1,41.84241,2,1,1,59,0,1.5,59350,00101002
2,53.82657,1,0,1,59,0,1.0,59350,00101002
3,53.82657,1,1,0,59,0,1.0,59350,00101002
4,41.84241,2,0,0,59,0,1.5,59350,00101002
5,53.82657,1,0,0,59,0,1.0,59350,00101004
6,41.84241,2,0,0,59,0,1.5,59350,00101004
7,88.83355,4,1,2,59,0,2.3,59350,00101004
8,53.82657,1,0,1,59,0,1.0,59350,00101004
9,53.82657,1,1,0,59,0,1.0,59350,00101005
10,53.82657,1,0,0,59,0,1.0,59350,00101005
11,53.82657,1,1,1,59,0,1.0,59350,00101006
12,53.82657,1,0,1,59,0,1.0,59350,00101006
13,53.82657,1,0,1,59,0,1.0,59350,00101006
14,53.82657,1,0,0,59,0,1.0,59350,00101006
15,41.84241,2,0,0,59,0,1.5,59350,00101006
16,53.82657,1,0,0,59,0,1.0,59350,00101006
17,41.84241,2,0,0,59,0,1.5,59350,00101006
18,88.83355,6,2,0,59,0,3.1,59350,00101006
19,36.55035,3,4,1,59,0,2.0,59350,00101006
20,53.82657,1,1,0,59,0,1.0,59350,00101007
21,41.84241,2,0,2,59,0,1.3,59350,00101007
22,41.84241,2,1,0,59,0,1.5,59350,00101007
23,53.82657,1,0,1,59,0,1.0,59350,00101010
25,53.82657,1,1,1,59,0,1.0,59350,00101010
26,53.82657,1,1,0,59,0,1.0,59350,00101010
27,53.82657,1,0,0,59,0,1.0,59350,00101010
28,36.55035,3,2,3,59,0,2.0,59350,00101010
29,53.82657,1,0,0,59,0,1.0,59350,00101010
30,53.82657,1,0,0,59,0,1.0,59350,00101011
32,53.82657,1,0,0,59,0,1.0,59350,00101013
33,41.84241,2,1,2,59,0,1.5,59350,00101013
34,41.84241,2,0,0,59,0,1.5,59350,00101013
35,53.82657,1,0,0,59,0,1.0,59350,00101013
36,53.82657,1,0,0,59,0,1.0,59350,00101016
38,53.82657,1,0,0,59,0,1.0,59350,00101016
39,53.82657,1,0,0,59,0,1.0,59350,00101016
40,36.55035,3,2,1,59,0,1.8,59350,00101016
41,41.84241,2,1,0,59,0,1.5,59350,00101016
42,41.84241,2,1,1,59,0,1.5,59350,00101016
43,41.84241,2,0,1,59,0,1.5,59350,00101016
45,53.82657,1,0,0,59,0,1.0,59350,00101016
46,36.55035,3,0,2,59,0,1.6,59350,00101017
48,41.84241,2,0,0,59,0,1.5,59350,00101017
49,41.84241,2,1,2,59,0,1.5,59350,00101017
51,53.82657,1,0,0,59,0,1.0,59350,00101019
52,53.82657,1,0,0,59,0,1.0,59350,00101019
53,53.82657,1,0,0,59,0,1.0,59350,00101019
54,53.82657,1,0,0,59,0,1.0,59350,00101019
55,41.84241,2,0,0,59,0,1.5,59350,00101019
56,53.82657,1,0,1,59,0,1.0,59350,00101019
57,53.82657,1,0,0,59,0,1.0,59350,00101019
58,41.84241,2,1,0,59,0,1.5,59350,00101019
60,41.84241,2,2,0,59,0,1.5,59350,00101019
61,41.84241,2,0,1,59,0,1.5,59350,00101019
62,53.82657,1,0,1,59,0,1.0,59350,00101019
63,41.84241,2,1,0,59,0,1.5,59350,00101019
64,53.82657,1,0,0,59,0,1.0,59350,00101019
65,53.82657,1,1,1,59,0,1.0,59350,00101019
66,53.82657,1,0,0,59,0,1.0,59350,00101019
67,53.82657,1,0,0,59,0,1.0,59350,00101019
69,53.82657,1,1,0,59,0,1.0,59350,00101019
70,41.84241,2,1,0,59,0,1.5,59350,00101019
71,53.82657,1,0,0,59,0,1.0,59350,00101019
72,41.84241,2,1,0,59,0,1.5,59350,00101019
73,41.84241,2,1,0,59,0,1.5,59350,00101021
74,53.82657,1,1,0,59,0,1.0,59350,00101021
75,53.82657,1,0,0,59,0,1.0,59350,00101021
76,41.84241,2,0,0,59,0,1.5,59350,00101021
77,36.55035,3,0,0,59,0,2.0,59350,00101021
78,36.55035,3,1,0,59,0,1.8,59350,00101022
79,41.84241,2,0,1,59,0,1.5,59350,00101022
81,41.84241,2,1,0,59,0,1.5,59350,00101024
82,53.82657,1,0,0,59,0,1.0,59350,00101024
83,53.82657,1,1,0,59,0,1.0,59350,00101024
84,41.84241,2,2,0,59,0,1.5,59350,00101025
85,41.84241,2,1,0,59,0,1.5,59350,00101025
86,66.79166,1,0,0,59,0,1.0,59350,00101802
87,66.79166,1,0,0,59,0,1.0,59350,00101802
88,66.79166,1,0,0,59,0,1.0,59350,00101802
90,66.79166,1,0,0,59,0,1.0,59350,00101802
91,53.82657,1,1,1,59,0,1.0,59350,00101802
92,53.82657,1,0,0,59,0,1.0,59350,00101802
93,41.84241,2,0,0,59,0,1.5,59350,00101802
94,53.82657,1,0,0,59,0,1.0,59350,00101802
95,66.79166,1,0,0,59,0,1.0,59350,00101802
96,53.82657,1,0,0,59,0,1.0,59350,00101802
97,66.79166,2,0,0,59,0,1.5,59350,00101802
98,66.79166,1,0,0,59,0,1.0,59350,00101802
99,53.82657,1,0,0,59,0,1.0,59350,00101802
100,66.79166,2,0,0,59,0,1.5,59350,00101802
101,36.55035,3,1,0,59,0,1.6,59350,00101802
102,66.79166,2,0,0,59,0,1.5,59350,00101802
103,66.79166,1,0,0,59,0,1.0,59350,00101802
104,66.79166,1,0,0,59,0,1.0,59350,00101802
105,66.79166,1,0,0,59,0,1.0,59350,00101802
107,66.79166,3,0,0,59,0,2.0,59350,00101802
108,66.79166,1,0,0,59,0,1.0,59350,00101802
109,53.82657,1,1,1,59,0,1.0,59350,00101802
110,41.84241,2,2,0,59,0,1.5,59350,00101802
111,66.79166,1,0,0,59,0,1.0,59350,00101802
112,66.79166,1,0,0,59,0,1.0,59350,00101802
113,66.79166,1,0,0,59,0,1.0,59350,00101802
114,82.07269000000001,1,0,0,59,0,1.0,59350,00102002
115,82.07269000000001,1,0,0,59,0,1.0,59350,00102002
116,82.07269000000001,1,0,0,59,0,1.0,59350,00102002
117,82.07269000000001,1,2,0,59,0,1.0,59350,00102002
118,102.896,2,1,1,59,0,1.5,59350,00102003
119,82.07269000000001,1,1,1,59,0,1.0,59350,00102003
120,102.896,2,0,0,59,0,1.5,59350,00102003
121,82.07269000000001,1,0,0,59,0,1.0,59350,00102003
122,82.07269000000001,1,0,0,59,0,1.0,59350,00102003
124,82.07269000000001,1,1,1,59,0,1.0,59350,00102004
125,82.07269000000001,1,1,0,59,0,1.0,59350,00102004
126,80.12179,3,2,4,59,0,1.8,59350,00102004
127,102.896,2,1,0,59,0,1.5,59350,00102004
128,102.896,2,0,0,59,0,1.5,59350,00102004
129,112.8955,4,1,6,59,0,2.1,59350,00102004
