person_id,household_id,person_weight,age,sex,employed,studies,has_license,has_pt_subscription,number_of_trips,departement_id,trip_weight,number_of_vehicles,number_of_bikes,is_passenger,socioprofessional_class,commune_id,zone_fine_id,work_study_zone_fine_id,car_availability,bike_availability
2,1,37.22053,25,female,True,False,False,True,4,59,37.22053,1,1,False,41,59350,00101002,112012.0,True,True
3,2,63.44084,18,male,True,False,False,False,5,59,63.44084,0,1,False,56,59350,00101002,101101.0,False,True
4,3,63.44084,21,female,True,False,True,False,4,59,63.44084,1,0,False,88,59350,00101002,888888.0,True,False
5,4,49.31612,23,male,False,True,True,True,4,59,49.31612,0,0,False,86,59350,00101002,125302.0,False,False
7,5,63.44084,20,male,False,True,True,False,2,59,63.44084,0,0,False,87,59350,00101004,150008.0,False,False
8,6,37.22053,34,male,True,False,False,False,3,59,37.22053,0,0,False,32,59350,00101004,102011.0,False,False
9,6,37.22053,30,female,True,False,False,False,4,59,37.22053,0,0,False,36,59350,00101004,101002.0,False,False
11,7,94.31228,41,female,False,False,True,False,14,59,94.31228,1,2,False,36,59350,00101004,aaaaa,True,True
12,7,27.51308,14,male,False,True,False,False,7,59,27.51308,1,2,False,85,59350,00101004,103301.0,True,True
13,7,27.51308,11,female,False,True,False,False,8,59,27.51308,1,2,False,84,59350,00101004,105015.0,True,True
14,8,47.88093,32,male,False,False,True,True,4,59,47.88093,0,1,False,47,59350,00101004,aaaaa,False,True
15,9,47.88093,28,female,False,False,True,False,3,59,47.88093,1,0,False,81,59350,00101005,aaaaa,True,False
16,10,63.44084,22,female,False,True,True,True,2,59,63.44084,0,0,False,86,59350,00101005,125301.0,False,False
17,11,57.146269999999994,42,male,True,False,True,True,4,59,57.146269999999994,1,1,False,36,59350,00101006,130801.0,True,True
18,12,63.44084,18,female,False,True,True,True,6,59,63.44084,0,1,False,86,59350,00101006,109301.0,False,True
19,13,63.44084,22,male,True,False,True,False,2,59,63.44084,0,1,False,86,59350,00101006,119006.0,False,True
20,14,63.44084,19,female,False,True,False,True,2,59,63.44084,0,0,False,86,59350,00101006,130202.0,False,False
